,DRUG_NAME,DRUG_NAME_ALT,SMILES,drug_id
8633,BRD-K45041977,,CC(C)NS(=O)(=O)c1ccc2nc(N)sc2c1,158.0
8699,BRD-K75706562,,CN(C1CCCCC1)c1ccc(N)nc1,159.0
8765,BRD-K07285786,,C1Cc2cc(ccc2N1)N1CCOCC1,160.0
8831,BRD-K41726507,,Nc1c(Br)cc(Br)cc1C#N,161.0
8897,BRD-K91497975,,Nc1ccc(Cl)cc1C(=O)c2ccccc2,162.0
8963,BRD-K34812369,,CNc1cc(C(O)=O)c(Nc2ccccc2)c(F)c1N,163.0
9029,BRD-A74385824,,COCCN1C(=O)C2N=NN(C2C1=O)c1ccccc1,164.0
9095,BRD-K64449269,,CCOC(=O)COc1nsnc1N1CCOCC1,165.0
9161,BRD-K15216430,,Cc1n[nH]c(=O)nc1N1CCN(CC1)c1ccccn1,166.0
9227,BRD-K27727950,,Cc1cc(NCCN2CCOCC2)nc2ccccc12,167.0
9293,BRD-A72620133,,CCOC(=O)C(CC)n1cc(Cl)cc(Cl)c1=O,168.0
9359,BRD-K46028345,,O=C(NC1CCNCC1)Nc1ccccc1,169.0
9425,BRD-K43269524,,NC(=S)Nc1cc(Cl)ccc1C(F)(F)F,170.0
9491,BRD-K50912936,,CCOC(=O)c1cc([nH]c1N)-c1cccc(c1)[N+]([O-])=O,171.0
9557,BRD-K71843868,,Cc1ccccc1C(=O)Nc1cc(ccc1F)[N+]([O-])=O,172.0
9623,BRD-A22875291,,NC1=NC2CS(=O)(=O)CC2S1,173.0
9689,BRD-K53833107,,CN(CCO)S(=O)(=O)c1ccc(C)c(c1)C(O)=O,174.0
9755,BRD-K73491139,,CCCc1cc(=O)[nH]c(N\N=C\c2cccc(O)c2)n1,175.0
9821,BRD-K85887800,,Cn1cc(NC(=O)CCc2ccc3OCCc3c2)cn1,176.0
9887,BRD-K02174944,,Nc1ccc2n(Cc3ccc(Cl)cc3)ccc2c1,177.0
9953,BRD-A01909047,,Clc1ccccc1C2NC(=O)NC3=C2C(=O)CCC3,178.0
10019,BRD-K94523503,,COc1ccc2nc(C)cc(-n3ccnc3)c2c1,179.0
10085,BRD-K75383255,,OC(=O)Cc1c[nH]c2cccc(Br)c12,180.0
10151,BRD-K22420234,,OC(=O)C1CCN(CC1)c1ccc(cn1)C(F)(F)F,181.0
10217,BRD-K91214136,,CCCCOC(=O)Nc1cc(ccc1C)[N+]([O-])=O,182.0
10283,BRD-K21826573,,Oc1ccc(C(=O)Cc2ccc3OCOc3c2)c(O)c1,183.0
10349,BRD-K20768035,,CCc1nc2ccc(cc2nc1CC)C(=O)O,184.0
10415,BRD-K68120208,,OC(=O)c1c2CCCc2nc2n(ncc12)C1CCCC1,185.0
10481,BRD-K08814008,,OC(=O)c1cc2ccc(Br)cc2s1,186.0
10547,BRD-K37731183,,Nc1cc(Cl)cc(Cl)c1C(O)=O,187.0
10613,BRD-K14518891,,Nc1ccccc1Br,188.0
10679,BRD-K97626960,,CCCCCc1nnc(N)s1,189.0
10745,BRD-K43880499,,OC(=O)CCc1nnc(S)nc1O,190.0
10811,BRD-K82224795,,Cc1nc(O)c(c(O)n1)\C=N\O,191.0
10877,BRD-K67844933,,CS(=O)(=O)c1ccc(cc1)C#N,192.0
10943,BRD-K41365682,,OC(=O)CCCOc1ccccc1,193.0
11009,BRD-K20784155,,CC(=O)Nc1cccc2nsnc12,194.0
11075,BRD-A81653272,,CC(=O)NC1CCOc2ccc(C)cc12,195.0
11141,BRD-K67361080,,CN(C)Cc1nc2ccccc2c(=O)[nH]1,196.0
11207,BRD-K19730505,,C1Cc2cc3ccccc3nc2O1,197.0
11273,BRD-K98579982,,CNCc1cc(O)nc2ccccc12,198.0
11339,BRD-K16695979,,OC(=O)c1cccc(Br)c1,199.0
11405,BRD-K38415242,,Cc1ccccc1CCCCN,200.0
11471,BRD-K04140867,,Cc1nc(sc1C)C1CCNCC1,201.0
